"HPO","Ancestors","definition"
"HP:0000001","HP:0000001","All"
"HP:0000002","HP:0000002;HP:0001507;HP:0000118;HP:0000001","Abnormality of body height"
"HP:0000003","HP:0000003;HP:0000107;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Multicystic kidney dysplasia"
"HP:0000005","HP:0000005;HP:0000001","Mode of inheritance"
"HP:0000006","HP:0000006;HP:0000005;HP:0000001","Autosomal dominant inheritance"
"HP:0000007","HP:0000007;HP:0000005;HP:0000001","Autosomal recessive inheritance"
"HP:0000008","HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of female internal genitalia"
"HP:0000009","HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Functional abnormality of the bladder"
"HP:0000010","HP:0000010;HP:0002719;HP:0010978;HP:0002715;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Recurrent urinary tract infections"
"HP:0000011","HP:0000011;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Neurogenic bladder"
"HP:0000012","HP:0000012;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Urinary urgency"
"HP:0000013","HP:0000013;HP:0008684;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Hypoplasia of the uterus"
"HP:0000014","HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Abnormality of the bladder"
"HP:0000015","HP:0000015;HP:0025487;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Bladder diverticulum"
"HP:0000016","HP:0000016;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Urinary retention"
"HP:0000017","HP:0000017;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Nocturia"
"HP:0000019","HP:0000019;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Urinary hesitancy"
"HP:0000020","HP:0000020;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031064;HP:0031058;HP:0025142","Urinary incontinence"
"HP:0000021","HP:0000021;HP:0010955;HP:0025487;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Megacystis"
