"term","is.a","def"
"HP:0000001",NA,"All"
"HP:0000002","HP:0001507","Abnormality of body height"
"HP:0000003","HP:0000107","Multicystic kidney dysplasia"
"HP:0000005","HP:0000001","Mode of inheritance"
"HP:0000006","HP:0000005","Autosomal dominant inheritance"
"HP:0000007","HP:0000005","Autosomal recessive inheritance"
"HP:0000008","HP:0000812","Abnormality of female internal genitalia"
"HP:0000008","HP:0010460","Abnormality of female internal genitalia"
"HP:0000009","HP:0000014","Functional abnormality of the bladder"
"HP:0000010","HP:0002719","Recurrent urinary tract infections"
"HP:0000010","HP:0011277","Recurrent urinary tract infections"
"HP:0000011","HP:0000009","Neurogenic bladder"
"HP:0000012","HP:0000009","Urinary urgency"
"HP:0000013","HP:0008684","Hypoplasia of the uterus"
"HP:0000014","HP:0010936","Abnormality of the bladder"
"HP:0000015","HP:0025487","Bladder diverticulum"
"HP:0000016","HP:0000009","Urinary retention"
"HP:0000017","HP:0000009","Nocturia"
"HP:0000019","HP:0000009","Urinary hesitancy"
"HP:0000020","HP:0000009","Urinary incontinence"
"HP:0000020","HP:0031064","Urinary incontinence"
"HP:0000021","HP:0010955","Megacystis"
"HP:0000022","HP:0000812","Abnormality of male internal genitalia"
"HP:0000022","HP:0010461","Abnormality of male internal genitalia"
"HP:0000023","HP:0004299","Inguinal hernia"
"HP:0000024","HP:0008775","Prostatitis"
"HP:0000024","HP:0012649","Prostatitis"
"HP:0000025","HP:0012874","Functional abnormality of male internal genitalia"
"HP:0000026","HP:0000025","Male hypogonadism"
"HP:0000026","HP:0000135","Male hypogonadism"
"HP:0000027","HP:0008669","Azoospermia"
"HP:0000028","HP:0000035","Cryptorchidism"
"HP:0000029","HP:0000035","Testicular atrophy"
"HP:0000030","HP:0000150","Testicular gonadoblastoma"
"HP:0000030","HP:0010788","Testicular gonadoblastoma"
"HP:0000031","HP:0009714","Epididymitis"
"HP:0000031","HP:0012649","Epididymitis"
"HP:0000032","HP:0000811","Abnormality of male external genitalia"
"HP:0000032","HP:0010461","Abnormality of male external genitalia"
"HP:0000033","HP:0000032","Ambiguous genitalia, male"
"HP:0000033","HP:0000062","Ambiguous genitalia, male"
"HP:0000034","HP:0000035","Hydrocele testis"
"HP:0000035","HP:0000032","Abnormal testis morphology"
"HP:0000036","HP:0000032","Abnormality of the penis"
"HP:0000037","HP:0000032","Male pseudohermaphroditism"
"HP:0000039","HP:0100627","Epispadias"
"HP:0000040","HP:0000036","Long penis"
"HP:0000041","HP:0000036","Chordee"
"HP:0000042","HP:0000811","Absent external genitalia"
"HP:0000044","HP:0000135","Hypogonadotrophic hypogonadism"
"HP:0000045","HP:0000032","Abnormality of the scrotum"
"HP:0000046","HP:0000045","Scrotal hypoplasia"
"HP:0000046","HP:0000050","Scrotal hypoplasia"
"HP:0000047","HP:0100627","Hypospadias"
"HP:0000048","HP:0000045","Bifid scrotum"
"HP:0000049","HP:0000045","Shawl scrotum"
"HP:0000050","HP:0000032","Hypoplastic male external genitalia"
"HP:0000050","HP:0003241","Hypoplastic male external genitalia"
"HP:0000051","HP:0000047","Perineal hypospadias"
"HP:0000052","HP:0000068","Urethral atresia, male"
"HP:0000053","HP:0045058","Macroorchidism"
"HP:0000054","HP:0008736","Micropenis"
"HP:0000055","HP:0000811","Abnormality of female external genitalia"
