"term","local.Base.freq","Base.local.IC","local.Prop.freq","Propagated.local.IC"
"HP:0000001",0,0,1,0
"HP:0000002",0,0,0,0
"HP:0000003",0,0,0,0
"HP:0000005",0,0,0.153846153846154,0.812913356642856
"HP:0000006",0,0,0,0
"HP:0000007",0,0,0,0
"HP:0000008",0,0,0,0
"HP:0000008",0,0,0,0
"HP:0000009",0,0,0,0
"HP:0000010",0,0,0,0
"HP:0000010",0,0,0,0
"HP:0000011",0,0,0,0
"HP:0000012",0,0,0,0
"HP:0000013",0,0,0,0
"HP:0000014",0,0,0,0
"HP:0000015",0,0,0,0
"HP:0000016",0,0,0,0
"HP:0000017",0,0,0,0
"HP:0000019",0,0,0,0
"HP:0000020",0,0,0,0
"HP:0000020",0,0,0,0
"HP:0000021",0,0,0,0
"HP:0000022",0,0,0,0
"HP:0000022",0,0,0,0
"HP:0000023",0,0,0,0
"HP:0000024",0,0,0,0
"HP:0000024",0,0,0,0
"HP:0000025",0,0,0,0
"HP:0000026",0,0,0,0
"HP:0000026",0,0,0,0
"HP:0000027",0,0,0,0
"HP:0000028",0,0,0,0
"HP:0000029",0,0,0,0
"HP:0000030",0,0,0,0
"HP:0000030",0,0,0,0
"HP:0000031",0,0,0,0
"HP:0000031",0,0,0,0
"HP:0000032",0,0,0,0
"HP:0000032",0,0,0,0
"HP:0000033",0,0,0,0
"HP:0000033",0,0,0,0
"HP:0000034",0,0,0,0
"HP:0000035",0,0,0,0
"HP:0000036",0,0,0,0
"HP:0000037",0,0,0,0
"HP:0000039",0,0,0,0
"HP:0000040",0,0,0,0
"HP:0000041",0,0,0,0
"HP:0000042",0,0,0,0
"HP:0000044",0,0,0,0
"HP:0000045",0,0,0,0
"HP:0000046",0,0,0,0
"HP:0000046",0,0,0,0
"HP:0000047",0,0,0,0
"HP:0000048",0,0,0,0
"HP:0000049",0,0,0,0
"HP:0000050",0,0,0,0
"HP:0000051",0,0,0,0
"HP:0000052",0,0,0,0
"HP:0000053",0,0,0,0
"HP:0000054",0,0,0,0
"HP:0000055",0,0,0,0
"HP:0000055",0,0,0,0
"HP:0000056",0,0,0,0
"HP:0000057",0,0,0,0
"HP:0000058",0,0,0,0
"HP:0000059",0,0,0,0
"HP:0000059",0,0,0,0
"HP:0000060",0,0,0,0
"HP:0000060",0,0,0,0
"HP:0000061",0,0,0,0
"HP:0000061",0,0,0,0
"HP:0000062",0,0,0,0
"HP:0000063",0,0,0,0
"HP:0000064",0,0,0,0
"HP:0000064",0,0,0,0
"HP:0000065",0,0,0,0
"HP:0000066",0,0,0,0
"HP:0000066",0,0,0,0
"HP:0000067",0,0,0,0
"HP:0000067",0,0,0,0
"HP:0000068",0,0,0,0
"HP:0000069",0,0,0,0
"HP:0000070",0,0,0,0
"HP:0000071",0,0,0,0
"HP:0000072",0,0,0,0
"HP:0000073",0,0,0,0
"HP:0000074",0,0,0,0
"HP:0000075",0,0,0,0
"HP:0000076",0,0,0,0
"HP:0000076",0,0,0,0
"HP:0000077",0,0,0,0
"HP:0000078",0,0,0,0
"HP:0000079",0,0,0,0
"HP:0000080",0,0,0,0
"HP:0000081",0,0,0,0
"HP:0000083",0,0,0,0
"HP:0000085",0,0,0,0
"HP:0000086",0,0,0,0
"HP:0000089",0,0,0,0
"HP:0000090",0,0,0,0
"HP:0000091",0,0,0,0
"HP:0000092",0,0,0,0
"HP:0000093",0,0,0,0
"HP:0000095",0,0,0,0
"HP:0000095",0,0,0,0
"HP:0000096",0,0,0,0
"HP:0000097",0,0,0,0
"HP:0000098",0,0,0,0
"HP:0000099",0,0,0,0
"HP:0000099",0,0,0,0
"HP:0000100",0,0,0,0
"HP:0000103",0,0,0,0
"HP:0000104",0,0,0,0
"HP:0000105",0,0,0,0
"HP:0000107",0,0,0,0
"HP:0000108",0,0,0,0
"HP:0000108",0,0,0,0
"HP:0000108",0,0,0,0
"HP:0000110",0,0,0,0
"HP:0000111",0,0,0,0
"HP:0000112",0,0,0,0
"HP:0000113",0,0,0,0
"HP:0000114",0,0,0,0
"HP:0000117",0,0,0,0
"HP:0000118",0,0,1,0
"HP:0000119",0,0,0,0
"HP:0000121",0,0,0,0
"HP:0000122",0,0,0,0
"HP:0000123",0,0,0,0
"HP:0000123",0,0,0,0
"HP:0000124",0,0,0,0
"HP:0000125",0,0,0,0
"HP:0000126",0,0,0,0
"HP:0000127",0,0,0,0
"HP:0000128",0,0,0,0
"HP:0000130",0,0,0,0
"HP:0000131",0,0,0,0
"HP:0000132",0,0,0,0
"HP:0000132",0,0,0,0
"HP:0000133",0,0,0,0
"HP:0000134",0,0,0,0
"HP:0000134",0,0,0,0
"HP:0000135",0,0,0,0
"HP:0000135",0,0,0,0
"HP:0000136",0,0,0,0
"HP:0000137",0,0,0,0
"HP:0000138",0,0,0,0
"HP:0000139",0,0,0,0
"HP:0000139",0,0,0,0
"HP:0000140",0,0,0,0
"HP:0000140",0,0,0,0
"HP:0000141",0,0,0,0
"HP:0000142",0,0,0,0
"HP:0000143",0,0,0,0
"HP:0000143",0,0,0,0
"HP:0000144",0,0,0,0
"HP:0000145",0,0,0,0
"HP:0000147",0,0,0,0
"HP:0000148",0,0,0,0
"HP:0000148",0,0,0,0
"HP:0000149",0,0,0,0
"HP:0000149",0,0,0,0
"HP:0000150",0,0,0,0
"HP:0000150",0,0,0,0
"HP:0000151",0,0,0,0
"HP:0000152",0,0,0,0
"HP:0000153",0,0,0,0
"HP:0000154",0,0,0,0
"HP:0000155",0,0,0,0
"HP:0000157",0,0,0,0
"HP:0000158",0,0,0,0
"HP:0000158",0,0,0,0
"HP:0000159",0,0,0,0
"HP:0000160",0,0,0,0
"HP:0000161",0,0,0,0
"HP:0000162",0,0,0,0
"HP:0000163",0,0,0,0
"HP:0000164",0,0,0,0
"HP:0000166",0,0,0,0
"HP:0000168",0,0,0,0
"HP:0000169",0,0,0,0
"HP:0000169",0,0,0,0
"HP:0000171",0,0,0,0
"HP:0000172",0,0,0,0
"HP:0000174",0,0,0,0
"HP:0000175",0,0,0,0
"HP:0000175",0,0,0,0
"HP:0000176",0,0,0,0
"HP:0000177",0,0,0,0
"HP:0000178",0,0,0,0
"HP:0000179",0,0,0,0
"HP:0000179",0,0,0,0
"HP:0000180",0,0,0,0
"HP:0000182",0,0,0,0
"HP:0000183",0,0,0,0
"HP:0000185",0,0,0,0
"HP:0000185",0,0,0,0
"HP:0000187",0,0,0,0
"HP:0000188",0,0,0,0
"HP:0000189",0,0,0,0
"HP:0000190",0,0,0,0
"HP:0000191",0,0,0,0
"HP:0000193",0,0,0,0
"HP:0000194",0,0,0,0
"HP:0000196",0,0,0,0
"HP:0000196",0,0,0,0
"HP:0000197",0,0,0,0
"HP:0000198",0,0,0,0
"HP:0000199",0,0,0,0
"HP:0000200",0,0,0,0
"HP:0000201",0,0,0,0
"HP:0000202",0,0,0,0
"HP:0000204",0,0,0,0
"HP:0000204",0,0,0,0
"HP:0000205",0,0,0,0
"HP:0000206",0,0,0,0
"HP:0000207",0,0,0,0
"HP:0000211",0,0,0,0
"HP:0000212",0,0,0,0
"HP:0000214",0,0,0,0
"HP:0000214",0,0,0,0
"HP:0000215",0,0,0,0
"HP:0000215",0,0,0,0
"HP:0000216",0,0,0,0
"HP:0000217",0,0,0,0
"HP:0000218",0,0,0,0
"HP:0000219",0,0,0,0
"HP:0000219",0,0,0,0
"HP:0000220",0,0,0,0
"HP:0000221",0,0,0,0
"HP:0000222",0,0,0,0
"HP:0000222",0,0,0,0
"HP:0000223",0,0,0,0
"HP:0000223",0,0,0,0
"HP:0000224",0,0,0,0
"HP:0000225",0,0,0,0
"HP:0000225",0,0,0,0
"HP:0000227",0,0,0,0
"HP:0000227",0,0,0,0
"HP:0000228",0,0,0,0
"HP:0000228",0,0,0,0
"HP:0000230",0,0,0,0
"HP:0000232",0,0,0,0
"HP:0000232",0,0,0,0
"HP:0000233",0,0,0,0
"HP:0000234",0,0,0,0
"HP:0000235",0,0,0,0
"HP:0000236",0,0,0,0
"HP:0000237",0,0,0,0
"HP:0000238",0,0,0,0
"HP:0000238",0,0,0,0
"HP:0000239",0,0,0,0
"HP:0000240",0,0,0,0
"HP:0000242",0,0,0,0
"HP:0000243",0,0,0,0
"HP:0000244",0,0,0,0
"HP:0000244",0,0,0,0
"HP:0000245",0,0,0,0
"HP:0000246",0,0,0,0
"HP:0000246",0,0,0,0
"HP:0000248",0,0,0,0
"HP:0000250",0,0,0,0
"HP:0000250",0,0,0,0
"HP:0000252",0,0,0,0
"HP:0000252",0,0,0,0
"HP:0000253",0,0,0,0
"HP:0000255",0,0,0,0
"HP:0000256",0,0,0,0
"HP:0000260",0,0,0,0
"HP:0000260",0,0,0,0
"HP:0000262",0,0,0,0
"HP:0000263",0,0,0,0
"HP:0000264",0,0,0,0
"HP:0000265",0,0,0,0
"HP:0000267",0,0,0,0
"HP:0000268",0,0,0,0
"HP:0000269",0,0,0,0
"HP:0000270",0,0,0,0
"HP:0000271",0,0,0,0
"HP:0000272",0,0,0,0
"HP:0000273",0,0,0,0
"HP:0000274",0,0,0,0
"HP:0000275",0,0,0,0
"HP:0000276",0,0,0,0
"HP:0000277",0,0,0,0
"HP:0000278",0,0,0,0
"HP:0000280",0,0,0,0
"HP:0000282",0,0,0,0
"HP:0000282",0,0,0,0
"HP:0000283",0,0,0,0
"HP:0000284",0,0,0,0
"HP:0000286",0,0,0,0
"HP:0000287",0,0,0,0
"HP:0000288",0,0,0,0
"HP:0000289",0,0,0,0
"HP:0000290",0,0,0,0
"HP:0000291",0,0,0,0
"HP:0000291",0,0,0,0
"HP:0000292",0,0,0,0
"HP:0000292",0,0,0,0
"HP:0000293",0,0,0,0
"HP:0000294",0,0,0,0
